Date,Target,Volume,MA_20,MA_50,RSI,Volatility_30D,Month,DayOfWeek
2015-04-21,0,1509600.0,33.95230674743652,33.15661571502685,81.72622434709156,0.011106644760485368,4.0,0.0
2015-04-22,0,782000.0,34.071238136291505,33.202067070007324,79.10722002433138,0.010781960224137768,4.0,1.0
2015-04-23,0,737400.0,34.15751132965088,33.25564586639404,94.47825128945613,0.010357905663039313,4.0,2.0
2015-04-24,1,1176400.0,34.2407901763916,33.30468807220459,93.78941381555775,0.01031597082479815,4.0,3.0
2015-04-27,0,717700.0,34.3616268157959,33.347797355651856,93.07541020821142,0.010163871391185915,4.0,4.0
2015-04-28,0,777600.0,34.49198837280274,33.38992694854736,92.71100011922788,0.010168035358679361,4.0,0.0
2015-04-29,0,895200.0,34.59077968597412,33.42519809722901,75.75881382685645,0.010779741648027898,4.0,1.0
2015-04-30,0,865400.0,34.66970443725586,33.44871212005615,59.62992919591526,0.009917677056335318,4.0,2.0
2015-05-01,0,1610100.0,34.75298366546631,33.464497108459476,47.823766361839034,0.010134236799611718,4.0,3.0
2015-05-04,0,859900.0,34.82728157043457,33.483330192565916,48.980539928083736,0.010016558049941015,5.0,4.0
2015-05-05,0,707100.0,34.88715591430664,33.50259883880615,46.272873239534384,0.009837401445425456,5.0,0.0
2015-05-06,0,845100.0,34.90865612030029,33.519254722595214,39.38708165763616,0.010136113101333125,5.0,1.0
2015-05-07,1,1737000.0,34.88497791290283,33.52665714263916,28.551565977641516,0.010387093556111776,5.0,2.0
2015-05-08,0,1125500.0,34.83735027313232,33.54886478424072,26.30723367205252,0.010391773968668977,5.0,3.0
2015-05-11,0,926100.0,34.804692077636716,33.59817905426026,31.240953804957314,0.010216105094137616,5.0,4.0
2015-05-12,0,1085400.0,34.7709457397461,33.643357048034666,33.65739435034939,0.010219556215791669,5.0,0.0
2015-05-13,0,930700.0,34.717603874206546,33.68603084564209,30.31771638813494,0.010244090187194561,5.0,1.0
2015-05-14,1,1282300.0,34.64604530334473,33.72501087188721,28.115297737321654,0.010398267414375467,5.0,2.0
2015-05-15,0,991600.0,34.55014190673828,33.76209041595459,24.237777052095623,0.010051974785624935,5.0,3.0
2015-05-19,0,1025300.0,34.48174133300781,33.80821174621582,32.8221235725389,0.010722536243968371,5.0,4.0
2015-05-20,1,1031700.0,34.39204292297363,33.83993537902832,35.30350323709321,0.010562029306681953,5.0,1.0
2015-05-21,0,1197800.0,34.2989896774292,33.875324745178226,36.68741322513215,0.010510914379927572,5.0,2.0
2015-05-22,0,1374100.0,34.241645622253415,33.93599300384521,50.86726200248017,0.011560312735403387,5.0,3.0
2015-05-25,0,695700.0,34.16565761566162,33.98278076171875,45.92055621557734,0.011337243175279446,5.0,4.0
2015-05-26,0,570800.0,34.04776458740234,34.007036666870114,39.42872990347825,0.011871746567062007,5.0,0.0
2015-05-27,0,1385500.0,33.915136909484865,34.027358016967774,41.8623676706253,0.011853521825822349,5.0,1.0
